position,section,group_title,item_id,question_id,title,description,question_type,required,options,validation
1,Form Root,,16017079,,General Information,,textItem,False,,
2,Form Root,,4922d26a,,Acknowledgements,"Funding description, grants, non-author contributors",textItem,False,,
3,Form Root,,589c98a9,751f3446,Funding Description and Grants,MAPS TO: schema.org: funding,textQuestion,True,,
4,Form Root,,240d61aa,2b29065e,Non-author Contributions,,textQuestion,True,,
5,Form Root,,5b61af9f,,Data Description,"Brief descriptions of data content, purpose, machine readiness (?)",textItem,False,,
6,Form Root,,46113483,216f03e5,Purpose of the data,MAPS TO: schema.org: description,textQuestion,True,,
7,Form Root,,57d5ddcd,0524b1a3,"Content -- short description of the data types, etc.",MAPS TO: schema.org: abstract,textQuestion,True,,
8,Form Root,,692b6d8c,31f0d0fd,Is the data machine ready? (definition of machine ready),,choiceQuestion,True,Yes | No,
9,Form Root,,54b4a02a,140ece60,Language -- what language or languages are the data?,,textQuestion,True,,
10,Form Root,,4bdddc58,063b2495,"Summary -- short summary of the data, e.g., for API call",MAPS TO: schema.org: description,textQuestion,True,,
11,Form Root,,2f6cd694,,Discovery,List relevant keywords or tags that describe the dataset.,textItem,False,,
12,Form Root,,2c477c98,6e3b1be1,Keywords/Tags,MAPS TO: schema.org: keywords | Croissant: keywords,textQuestion,True,,
13,Form Root,,7fd27650,,Ontology,,textItem,False,,
14,Form Root,,3625c094,4bb7f9c5,Ontology: Data Dictionary/Codebook,,textQuestion,True,,
15,Form Root,,56f586b3,21c549e4,Ontology: Example Code (could be link to section of repository),MAPS TO: schema.org: codeRepository | Croissant: codeRepository,textQuestion,True,,
16,Form Root,,23b69cd2,,References,"References for, or links to, any associated published artifacts (papers, models, code, webpages)",textItem,False,,
17,Form Root,,1115a5ae,0ea2dbdd,Homepage (link to associated project page),MAPS TO: schema.org: url | Croissant: url,textQuestion,True,,
18,Form Root,,27c83aff,2994e532,Repository (link to associated project repository),MAPS TO: schema.org: codeRepository | Croissant: codeRepository,textQuestion,True,,
19,Form Root,,7ccd184f,17521ce3,Example Code (could be link to this in the project repository),MAPS TO: schema.org: codeRepository | Croissant: codeRepository,textQuestion,True,,
20,Form Root,,218fa4b3,6e027c36,Paper (title and link to associated paper),MAPS TO: schema.org: name | Croissant: @name,textQuestion,True,,
21,Form Root,,43bffe6c,538c76c9,Related Dataset and/or Model,MAPS TO: schema.org: isBasedOn,textQuestion,True,,
22,Form Root,,15273e26,181f7472,Related Paper (cited by?),MAPS TO: schema.org: citation,textQuestion,True,,
23,Form Root,,5d96e8bb,,Standard Metadata,Basic citation metadata,textItem,False,,
24,Form Root,,578ef5a9,76877192,Creators,MAPS TO: schema.org: creator | Croissant: creator,textQuestion,True,,
25,Form Root,,481ad037,46883012,Title,MAPS TO: schema.org: name | Croissant: @name,textQuestion,True,,
26,Form Root,,77551ea5,399dc32b,Summary or Abstract,MAPS TO: schema.org: description | Croissant: description,textQuestion,True,,
27,Form Root,,11757fed,5f22c5fe,Date Created,MAPS TO: schema.org: dateCreated | Croissant: datePublished,dateQuestion,True,,
28,Form Root,,4150c0fd,047e5123,Publisher,MAPS TO: schema.org: publisher | Croissant: publisher,textQuestion,True,,
