position,section,group_title,item_id,question_id,title,description,question_type,required,options,validation
1,Form Root,,4c1a18d4,,General Information,,textItem,False,,
2,Form Root,,14e7ca09,,Acknowledgements,"Funding description, grants, non-author contributors",textItem,False,,
3,Form Root,,16d05971,3b90556c,Funding Description and Grants,,textQuestion,True,,
4,Form Root,,5e9e289a,1fdfa7f3,Non-author Contributions,,textQuestion,True,,
5,Form Root,,1a1e0dea,,Data Description,"Brief descriptions of data content, purpose, machine readiness (?)",textItem,False,,
6,Form Root,,56fbc472,28b182ad,Purpose of the data,,textQuestion,True,,
7,Form Root,,631dc5cd,20a4804f,"Content -- short description of the data types, etc.",,textQuestion,True,,
8,Form Root,,1bcba840,3c9bb6a0,Is the data machine ready? (definition of machine ready),,choiceQuestion,True,Yes | No,
9,Form Root,,7b5ff14b,5fe40e42,Language -- what language or languages are the data?,,textQuestion,True,,
10,Form Root,,22f80aed,31686178,"Summary -- short summary of the data, e.g., for API call",,textQuestion,True,,
11,Form Root,,4e0d7ca2,,Discovery,List relevant keywords or tags that describe the dataset.,textItem,False,,
12,Form Root,,15f8894c,0aa92f2b,Keywords/Tags,,textQuestion,True,,
13,Form Root,,4dc7ee80,,Ontology,,textItem,False,,
14,Form Root,,00ed8ca5,7ba47b3a,Ontology: Data Dictionary/Codebook,,textQuestion,True,,
15,Form Root,,1b8e05d2,56b36285,Ontology: Example Code (could be link to section of repository),,textQuestion,True,,
16,Form Root,,0d74e3e3,,References,"References for, or links to, any associated published artifacts (papers, models, code, webpages)",textItem,False,,
17,Form Root,,06df66e4,12a00e2f,Homepage (link to associated project page),,textQuestion,True,,
18,Form Root,,31eda781,77d2794c,Repository (link to associated project repository),,textQuestion,True,,
19,Form Root,,49dbbbf9,1d9b7712,Example Code (could be link to this in the project repository),,textQuestion,True,,
20,Form Root,,5c8a3f73,15170429,Paper (title and link to associated paper),,textQuestion,True,,
21,Form Root,,0f6f3713,6b8c8ab9,Related Dataset and/or Model,,textQuestion,True,,
22,Form Root,,18071781,6ab64328,Related Paper (cited by?),,textQuestion,True,,
23,Form Root,,222050cc,,Standard Metadata,Basic citation metadata,textItem,False,,
24,Form Root,,3043516d,6282179d,Creators,,textQuestion,True,,
25,Form Root,,28e8f00c,464ad756,Title,,textQuestion,True,,
26,Form Root,,1432664b,7292c04f,Summary or Abstract,,textQuestion,True,,
27,Form Root,,468fe71d,7ccedc8f,Date Created,,dateQuestion,True,,
28,Form Root,,76cb0186,49fb99fc,Publisher,,textQuestion,True,,
29,Data Structure (Matt),,2168a3b4,,Data Structure (Matt),"Data Format, Data organization, Features, Technical Specs",SECTION_BREAK,False,,
30,Data Structure (Matt),,6f2c62cd,,Data Format,,textItem,False,,
31,Data Structure (Matt),,05025906,53595bd8,What file format(s) encode the data?,,choiceQuestion,True,"Tabular / delimited text (CSV, TSV, XLSX, etc.) | Parquet/Arrow | JSON/JSONL | JPG/PNG/WebP/TIFF (etc.) | Non-geospatial array-based scientific data container (NetCDF, HDF5, Zarr, etc.) | Georeferenced raster data (GeoTIFF, COG, GRIB, NetCDF, Zarr, etc.) | Georeferenced vector data (points, lines, polygons; GeoPackage, GeoJSON, Shapefile, etc.) | WAV/FLAC/MP3 (etc.) | MP4/MKV (etc.) | Database file (embedded, e.g. SQLite)",
32,Data Structure (Matt),,0e2b49b0,30ec4623,What is the dataset layout pattern?,,choiceQuestion,True,"Single file | Many independent files | Partitioned dataset (by year, region, taxon, etc.) | Database file | API-only | Mixed",
33,Data Structure (Matt),,31a6431a,22e87093,What is the primary unit of data that is to be operated on?,"E.g., 'Each row is a species observation'; 'Each file is a satellite image'.",textQuestion,True,,
34,Data Structure (Matt),,5b397a59,,Data Organization,,textItem,False,,
35,Data Structure (Matt),,677b8710,74cbeb0b,What is the organizational structure of the dataset?,,choiceQuestion,True,Tabular | Raster image | Vector image | Relational database | Audio stream | Video | Time series | Graph/network,
36,Data Structure (Matt),,33b66e7e,,Features,,textItem,False,,
37,Data Structure (Matt),,43812d0c,015f4a84,What features or attributes are included for each data instance?,"E.g., species name, location, date, observer ID, etc.",textQuestion,True,,
38,Data Structure (Matt),,344ba00e,,Technical Specifications,,textItem,False,,
39,Data Structure (Matt),,7bcbca8b,50e2a8e5,What are the technical specifications of the dataset?,"Include file sizes, total dataset size, resolution, bit depth, sampling rate, etc.",textQuestion,True,,
40,Source Data,,43b24449,,Source Data,"Annotation, Collection, Instrumentation, Methods, Preparation This may have secondary questions for derived vs directly collected data, e.g., information about the source data vs collection method information (ex: sensors).",SECTION_BREAK,False,,
41,Source Data,,1f86f8d7,,Annotation,,textItem,False,,
42,Source Data,,3e0f7c26,7b0ca36f,Annotation Types: What types of annotations or labels are included in the dataset (if any)? Select all that apply:,,choiceQuestion,True,"Categorical labels (e.g. species names or class IDs) | Spatial annotations (e.g. bounding boxes, segmentation masks) | Textual descriptors or tags | No annotations",
43,Source Data,,35c2ddad,79822992,Annotation Process: How were the annotations generated or obtained? Select all that apply:,,choiceQuestion,True,Manually by domain experts | Crowdsourced by volunteers | Automatically by an algorithm or sensor | Mixed (human-reviewed automation) | Not applicable (no annotations),
44,Source Data,,60dff89d,5c9e9017,"Annotators (Contributors): Who performed the data annotations? If available, provide a list of annotators (e.g., ORCiDs), or names/versions of automated tools or systems; or other relevant information.",,textQuestion,False,,
45,Source Data,,25bbec2c,,Collection,,textItem,False,,
46,Source Data,,4edf30e2,65284c0b,Collection (Data Source Type): What type(s) of source data were collected or used to generate this dataset?,,choiceQuestion,True,"Field observations or surveys by humans | Sensor-based data collection | Specimens, samples, and lab results | Derived or processed data",
47,Source Data,,1cbd915a,4f58cdae,"Collection (Source Data / Data Source Citation(s)): If this is a derived dataset, list the original data source(s) used and provide citation/identifier information for each.","Include: Title / dataset name Persistent identifier (DOI, URL, ARK, w3id, etc.) Relation to this dataset (e.g., Cites, IsDerivedFrom, IsPartOf, References) Publisher / data catalog (if applicable)",textQuestion,False,,
48,Source Data,,1efb34dd,0db57645,Collection (Curation Rationale): What was the primary rationale for curating or assembling this dataset? Select one:,,choiceQuestion,True,"Consolidate distributed sources into a unified dataset | Create ML‑ready structure for AI/analytics | Improve data quality (cleaning, normalization, deduplication) | Enhance discoverability/interoperability",
49,Source Data,,3558d898,59a000e3,"Collection (Part of a Larger Collection): If this dataset part of a larger collection or series, provide the following information:","Collection/series name Persistent identifier Relationship (IsPartOf, HasPart, IsPublishedIn) Catalog or repository name",textQuestion,False,,
50,Source Data,,135cc75e,,Instrumentation,,textItem,False,,
51,Source Data,,643defe7,1fb20777,"Instrumentation: Describe the instruments or sensors used to collect the data, including their specifications and configuration.","Include as applicable: Instrument/sensor name and model Manufacturer Sensor type (e.g., microphone, camera, spectrometer) Key technical specs (resolution, sampling rate, spectral range, dynamic range) Deployment/operational configuration (height, orientation, settings) Calibration procedures Applicable to: bioacoustics, remote sensing, environmental sensors, imaging, lab equipment, etc.",textQuestion,False,,
52,Source Data,,0d544af0,,Methods,,textItem,False,,
