to delete,dup check,checked,Original Item,Original Proposed definition,Item,Requirement Definition,Scoring: Meets,Scoring: Partial,Scoring: Does Not Meet,Scoring: NA,FAIR category,AI FAIR Criteria: Structural | Scientific | Provenance | Governance,Broad categories,Sub category,"Required (core, auto, or recommended)",Use-case scope (Condition),Applies-at-level,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,Note
,,x,Funder description,Entity that funded the creation of this data. Croissant: funder,Funder Information,Dataset metadata explicitly identifies all funding entities and sponsoring organizations responsible for data creation.,"Funder name is documented with a persistent organizational identifier (e.g., ROR ID, Crossref Funder ID) or structured metadata schema.",Funder is mentioned by name in unstructured narrative text without persistent identifiers or structured metadata fields.,No funding entities or financial sponsors are identified in dataset documentation.,Dataset was generated without external funding or sponsor support.,Reusable,Scientific | Provenance,General Information,Acknowledgements,core,Funder,dataset,dataset/project/funding,fundingReferences/fundingReference/funderName,sc:funder,sc:funder,croissant-partial,"Ex: NSF, NIH, etc."
,,x,"Funding ID (e.g., grant number)",grant/award number (https://schema.org/Grant?),Grant and Award Identifier,"Dataset metadata specifies formal grant, award, or contract numbers associated with funding sources.",Specific grant or award numbers (and award URIs/PIDs if available) are structured in dedicated funding metadata fields.,Grant numbers are mentioned informally in acknowledgements or text but not structured in dedicated metadata fields.,"Funding is referenced, but award or grant identification numbers are omitted.",Dataset was produced without formal grants or award identifiers.,Reusable,Scientific | Provenance,General Information,Acknowledgements,core,Funding ID,dataset,dataset/project/award,fundingReferences/fundingReference/awardNumber,sc:funder,sc:funder,croissant-partial,"Ex: numbers for this grant: Awards 2531924, 2531922, 2531925, 2600200 "
,,x,Non-author contributors,Acknowledgement/List of contributors not included in the author list. Croissant: contributor,Contributor Acknowledgements,"Dataset metadata acknowledges non-author contributors and specifies their roles in data collection, processing, or curation.","All non-author contributors are listed with structured roles (e.g., CRediT taxonomy) and standardized contributor metadata.",Contributors are acknowledged in narrative free text without structured roles or standardized contributor tags.,No non-author contributors or auxiliary contributions are documented.,Dataset creation was executed solely by the primary authors with no external contributors.,Reusable,Scientific | Provenance,General Information,Acknowledgements,recommended,Outside contributors,dataset,dataset/associatedParty,contributors/contributor,sc:contributor,sc:contributor,croissant-partial,"Could be free-text acknowledgment (e.g., ""thank you to Jane and John for their feedback..."")"
keep,scope dup,x,Purpose,"short intended use at compilation/collection: why
experimental/general monitoring - like a quick reference for what biases may exist in these data",Dataset Purpose and Scope,"Dataset documentation explicitly defines the primary scientific objectives, ecological research questions, target biological/environmental phenomena, and collection rationale.","Scientific motivation, focal taxa/ecosystem context, research hypotheses, and intended domain applications are comprehensively documented.","Scientific purpose is mentioned broadly (e.g., in a brief abstract) but lacks specific research objectives, ecological scope, or study context.","No scientific purpose, research objectives, or collection rationale are documented.",Never NA (mandatory baseline for all datasets).,Reusable,Scientific,General Information,Data description,core,All use cases,dataset,dataset/purpose,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,croissant-partial,"General, this data is for ... e.g., specifically for identifying animal behaviors in Kenyan ungulates from drone footage vs. for estimating population size of Grevy's zebras across Kenya

Sourced from the Imageomics dataset card checklist."
,,x,Dataset is machine-ready,"All structural fields are filled in and then it is machine ready for the specified tasks.

data can be ingested into a pipeline, does not guarantee scientific validity",Machine Ingestion Readiness,Dataset structural packaging conforms to standardized specifications enabling automated programmatic ingestion.,"Dataset adheres strictly to machine-actionable data contracts (e.g., Croissant, Frictionless) with zero ingestion errors.","Dataset can be loaded programmatically but requires manual structural fixes, header curation, or file renaming.",Dataset cannot be parsed or ingested by standard data loaders without custom script engineering.,Never NA (applies to all AI-pipeline datasets).,Interoperable,Structural,General Information,Data description,auto,All use cases,dataset,,,,cr:conformsTo,croissant-native,"SR: this term was flagged as ambiguous in the feedback document
EC: this requires discussion: do we want to include, and if so, how do we answer this? the Croissant ""conformsTo"" would seem to be usable for saying it follows our standard, so perhaps we could define a measure of compliance, but we'd want it to be pretty intuitive. We've discussed ""machine ready"" or AI-Ready as being ready to insert directly to an ML pipeline, but needs are still use-case specific. 
ES: should we make an additional field for ML use case or pipeline that the dataset is ""ready"" for?

Sourced from the Imageomics dataset card checklist and the ESIP AI-readiness checklist, v1.0."
keep,scope dup | split dup,x,Dataset is task-ready for a defined list of tasks,List of tasks for which dataset is machine-ready,Documented Task Readiness,"Dataset documentation explicitly enumerates the specific computational, analytical, or machine learning tasks (e.g., Species Distribution Modeling, object detection, bioacoustic classification) for which the dataset is structured, formatted, and verified, mapped to standard ML task taxonomies where applicable.","One or more concrete, machine-ready tasks are explicitly declared and mapped to standard task terms/taxonomies (e.g., Hugging Face task types, Croissant task schema), with clear designation of input features and target output variables.","Potential tasks are described informally in narrative text (e.g., ""suitable for machine learning classification"") without standardized task taxonomy mappings or explicit input-target specifications.","No computational tasks, modeling targets, or intended analytical workflows are documented.",Dataset is released strictly as an uncurated raw archive with no pre-configured or verified computational tasks.,,Structural | Scientific,General Information,Data description,auto,All use cases,dataset,,,,is a task defined in sc:educationalUse?,croissant-native,"i.e., what was this dataset engineered to do? E.g., test-train split for training a computer vision species identification model. The data could be used for something else, but this is what the data were assembled for.
Ex: Image Classification on list of columns"
keep,source dup,is the “meets” criteria too restrictive?,Dataset is traceable to its source(s),"Whether the dataset's origin can be followed back to its source(s) via persistent identifiers, forming an unbroken provenance chain. Authority: DataCite Metadata Schema 4.6 -- relatedIdentifiers[IsDerivedFrom] (sources with a DOI) and relatedItems[IsDerivedFrom] (sources without a DOI). Also schema.org sc:isBasedOn; Croissant cr:source; PROV-O.",Source Lineage Traceability,"Dataset metadata establishes an unbroken, machine-actionable provenance graph linking derived data products to raw inputs through recorded transformation steps.","Complete provenance graph is structured in machine-actionable standards (e.g., W3C PROV-O, Croissant cr:source) linking inputs, scripts, and output artifacts.","General processing pipeline is described in narrative text, but machine-actionable entity-activity-agent provenance links are missing.",Upstream processing transformations and origin lineage are undocumented or unverified.,Dataset consists solely of primary raw field observations requiring no upstream data transformation.,Findable | Reusable,Provenance,General Information,Data description,auto,All use cases,dataset,,,,,oos->extension,"proposed definition generated by Claude

Based on provenance category being sufficiently filled"
,,x,Language (for text data),Croissant: language,Natural Language Specification,Dataset metadata specifies the natural language(s) of textual features and annotations using standard language tags.,"Language is explicitly defined using standard BCP 47 or ISO 639-1 language codes (e.g., 'en-US', 'es').",Language is indicated in unstructured narrative text without standard ISO/BCP language codes.,"Textual data or annotations are present, but language metadata is absent.","Dataset contains no textual features, captions, or natural language attributes.",Interoperable,Structural,General Information,Data description,core,Text/NLP (textual data),dataset,dataset/language,language,sc:inLanguage,sc:inLanguage,croissant-partial,Sourced from the Imageomics dataset card checklist.
delete,description dup,is this too restrictive? should this be rolled in with abstract?,Summary,"A short, human-readable summary of the dataset, briefer than the full abstract, suitable for catalog display. Ref: schema.org sc:abstract (short) vs sc:description (full); EML dataset/abstract.",Concise Summary Description,"Dataset metadata includes a concise, single-paragraph executive summary suitable for catalog indexing and context-constrained display.","A distinct, concise summary (1–3 sentences) is provided in dedicated summary/abstract metadata fields.",Only a verbose multi-page academic abstract is present without a concise catalog-level summary.,No summary or short description is provided in dataset metadata.,Never NA (applies to all datasets).,Findable,Scientific,General Information,Data description,core,All use cases,dataset,dataset/abstract,"descriptions/description[@descriptionType=""Abstract""]",sc:abstract,sc:abstract,croissant-partial,"proposed definition generated by Claude

Idea was to find a short description key. Schema.org recently introduced abstract, which could work? Seems like we would want to include something about the intent. How is this different or the same from content?
1-2 sentences vs. an abstract

Use-case: Example would be for rendering in a Catalog, but more generally, getting a simple description back is more manageable, especially if worried about context window limitations looking at multiple sources"
,,x,Keywords/tags,Croissant: keywords,Descriptive Keywords and Tags,Dataset metadata includes thematic keywords and taxonomy tags to facilitate discoverability in search catalogs.,"Structured keywords are provided and mapped to standardized vocabularies or ontologies (e.g., AGROVOC, ENVO, Darwin Core).","Uncontrolled, ad-hoc keywords are provided as comma-separated free text without ontology mapping.","No keywords, tags, or subject descriptors are provided.",Never NA (applies to all datasets).,Findable,Structural | Scientific,General Information,Discovery,core,All use cases,dataset,dataset/keywordSet,subjects/subject,sc:keywords,sc:keywords,croissant-native,Sourced from the Imageomics dataset card checklist.
,,x,Data dictionary / codebook,"A structured listing that defines every variable/field: name, data type, units, allowed values, and definition. Ref: schema.org sc:variableMeasured; Croissant cr:RecordSet/cr:field; EML dataset/dataTable/attributeList; DataCite description[TechnicalInfo].",Data Dictionary and Codebook,"Dataset provides a comprehensive data dictionary defining all variables, column headers, data types, valid ranges, and units.","Machine-readable codebook/schema (e.g., Croissant RecordSet, EML attributeList) specifies every variable name, type, unit, and definition.",Data dictionary exists as an unstructured text/PDF document without machine-actionable column metadata.,"Variables and columns lack definitions, valid ranges, or explicit type documentation.",Dataset contains only unstructured binary media with no tabular metadata or records.,Interoperable | Reusable,Structural | Scientific,General Information,Ontology,core,All use cases,dataset; occurrence,dataset/dataTable/attributeList,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:RecordSet/cr:field,croissant-native,proposed definition generated by Claude [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
,,x,Homepage,URL to description of dataset (may not exist or point to resource homepage),Project Homepage URL,Dataset metadata includes a resolvable URL pointing to the official project or resource landing page.,"A valid, maintained URL to the official project or initiative website is explicitly provided in metadata.","A homepage URL is provided, but links to an unmaintained, generic institutional page or broken redirect.",No project or landing page URL is documented.,"Dataset is an independent, standalone release without an associated project website.",Findable,Scientific | Provenance,General Information,References,core,All use cases,dataset,dataset/distribution/online/url,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDescribedBy""]",sc:url,sc:url,croissant-partial,"Ex: for TreeOfLife-200M, has homepage

Sourced from the Imageomics dataset card checklist."
,,Is this meant to be the dataset repo? Or an associated code repo?,Repository,URL of repository used for dataset curation/processing,Code Repository Link,"Dataset metadata links to the version-controlled code repository used for dataset curation, preprocessing, or pipeline ingestion.","A resolvable URL/PID to the source code repository (e.g., GitHub, GitLab, Software Heritage PID) is structured in metadata.","A code repository is mentioned in text, but direct URL/PID links are missing or point to private/unreachable repos.",No code repository or script hosting location is documented.,No specialized code or scripts were developed to curate or process the dataset.,Findable,Structural,General Information,References,core,All - programmatic/ML use,dataset,dataset/publisher,"relatedIdentifiers/relatedIdentifier[@relationType=""IsSupplementedBy""]",sc:url,cr:FileObject/sc:contentUrl,croissant-partial,"Ex: for TreeOfLife-200M, has repository (TreeOfLife-toolbox)

Sourced from the Imageomics dataset card checklist."
keep,dup repo,x,Example code (can be pointer to repo),"Runnable code or commands showing how to load, install, or transform the dataset. Ref: DataCite relatedIdentifier[IsSupplementedBy]. No native schema.org/Croissant term.",Example Code,"Dataset provides runnable code snippets or quickstart instructions demonstrating programmatic data access, loading, and batch processing.","Directly executable code examples (e.g., Python/R scripts, Jupyter notebooks, Hugging Face load_dataset snippet) are provided.","High-level pseudocode or brief instructions exist, but lack complete executable code or dependency requirements.","No example code, loading scripts, or programmatic usage examples are provided.",Dataset requires no programmatic loading scripts (standard single CSV with trivial parsing).,Reusable | Accessible,Structural,General Information,References,core,All - programmatic/ML use,dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""IsSupplementedBy""]",,,croissant-partial,"proposed definition generated by Claude

Could be install, access, on HF often `load_dataset`, but may be a data transformation"
