Item,Requirement Definition,Scoring: Meets,Scoring: Partial,Scoring: Does Not Meet,Scoring: NA,FAIR category,AI FAIR Criteria: Structural | Scientific | Provenance | Governance,Broad categories,Sub category,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,Note
Descriptive Dataset Title,"Dataset has a clear, human-readable, descriptive title distinct from repository slugs or file path names.","A formal, descriptive, human-readable title is provided across metadata records and repository landing pages.","Title is present but identical to raw repository slug, file directory name, or overly abbreviated.",No dataset title is provided.,Never NA (mandatory for all datasets).,Findable,Provenance,General Information,Standard Metadata,dataset/title,titles/title,sc:name,sc:name,croissant-native,"proposed definition generated by Claude

Ex: 2018 NEON Ethanol-preserved Ground Beetles, different from repo name (2018-NEON-beetles)

Sourced from the Imageomics dataset card checklist."
Comprehensive Dataset Abstract,"Dataset metadata includes a scientific description, summary, or abstract describing background, methods, scope, and findings.","An abstract covering background, methodology, and domain scope is populated in metadata.",Abstract is excessively brief.,No abstract or comprehensive scientific description is provided.,Never NA (mandatory for all datasets).,Findable,Scientific,General Information,Standard Metadata,dataset/abstract,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,croissant-native,"Use-case: Needed, but maybe not for initial browsing?"
Dataset Purpose and Scope,"Dataset documentation explicitly defines the primary scientific objectives, ecological research questions, target biological/environmental phenomena, and collection rationale.","Scientific motivation, focal taxa/ecosystem context, research hypotheses, and intended domain applications are comprehensively documented.","Scientific purpose is mentioned broadly (e.g., in a brief abstract) but lacks specific research objectives, ecological scope, or study context.","No scientific purpose, research objectives, or collection rationale are documented.",Never NA (mandatory baseline for all datasets).,Findable | Reusable,Scientific,General Information,Data Description,dataset/purpose,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,croissant-partial,"General, this data is for ... e.g., specifically for identifying animal behaviors in Kenyan ungulates from drone footage vs. for estimating population size of Grevy's zebras across Kenya

Sourced from the Imageomics dataset card checklist."
Dataset Persistent Identifier (DOI),"Dataset is assigned a globally unique, persistent, and resolvable Digital Object Identifier (DOI).","A valid, registered DOI (e.g., registered via DataCite, Crossref) is structured in dataset metadata.",Dataset uses an ephemeral or local URL/handle instead of a globally registered persistent DOI.,No DOI or persistent identifier is assigned to the dataset.,Dataset is a private pre-publication draft not yet assigned a DOI.,Findable,Structural | Provenance,Provenance,Identifier,dataset/alternateIdentifier,identifier,sc:identifier,sc:identifier,croissant-native,"DOI for this dataset. GM: Shouldn't the DOI for this dataset be listed under General Information, or similar (or not as part of Provenance metadata anyways)? [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]"
Descriptive Keywords and Tags,Dataset metadata includes thematic keywords and taxonomy tags to facilitate discoverability in search catalogs.,"Structured keywords are provided and mapped to standardized vocabularies or ontologies (e.g., AGROVOC, ENVO, Darwin Core).","Uncontrolled, ad-hoc keywords are provided as comma-separated free text without ontology mapping.","No keywords, tags, or subject descriptors are provided.",Never NA (applies to all datasets).,Findable,Structural | Scientific,General Information,Discovery,dataset/keywordSet,subjects/subject,sc:keywords,sc:keywords,croissant-native,Sourced from the Imageomics dataset card checklist.
Project Homepage URL,Dataset metadata includes a resolvable URL pointing to the official project or resource landing page.,"A valid, maintained URL to the official project or initiative website is explicitly provided in metadata.","A homepage URL is provided, but links to an unmaintained, generic institutional page or broken redirect.",No project or landing page URL is documented.,"Dataset is an independent, standalone release without an associated project website.",Findable,Scientific | Provenance,General Information,References,dataset/distribution/online/url,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDescribedBy""]",sc:url,sc:url,croissant-partial,"Ex: for TreeOfLife-200M, has homepage

Sourced from the Imageomics dataset card checklist."
Code Repository Link,"Dataset metadata links to the version-controlled code repository used for dataset curation, preprocessing, or pipeline ingestion.","A resolvable URL/PID to the source code repository (e.g., GitHub, GitLab, Software Heritage PID) is structured in metadata.","A code repository is mentioned in text, but direct URL/PID links are missing or point to private/unreachable repos.",No code repository or script hosting location is documented.,No specialized code or scripts were developed to curate or process the dataset.,Findable | Reusable,Structural | Provenance,General Information,References,dataset/methods/methodStep/software,"relatedIdentifiers/relatedIdentifier[@relationType=""IsSupplementedBy""]",sc:codeRepository,cr:FileObject/sc:contentUrl,croissant-partial,"Ex: for TreeOfLife-200M, has repository (TreeOfLife-toolbox)

Sourced from the Imageomics dataset card checklist."
Canonical Descriptor Publication,Dataset metadata references the canonical peer-reviewed publication or data paper describing the dataset.,The canonical data paper is linked via a persistent identifier (DOI) in structured citation metadata.,Paper is cited as informal text or title without a resolvable DOI or structured citation schema.,No canonical descriptor publication or preprint is cited in dataset metadata.,Dataset has not been described in a published scientific paper or preprint.,Findable | Reusable,Scientific | Provenance,General Information,References,dataset/literatureCited,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDescribedBy""]",sc:citation,sc:citation,croissant-native,"Ex: Paper for TreeOfLife-200M:
BioCLIP 2: Emergent Properties from Scaling Hierarchical Contrastive Learning

Sourced from the Imageomics dataset card checklist."
Data Publisher and Host,"Dataset metadata explicitly identifies the publishing organization, data center, or hosting repository platform.","Publishing entity (e.g., Zenodo, Hugging Face, EDI, GBIF) is documented with structured schema and persistent identifier/URL.",Hosting platform is visible by URL location but not formally structured in dataset metadata.,Publisher and distribution host are undocumented.,Never NA (mandatory for all datasets).,Findable | Accessible,Structural | Provenance,General Information,Standard Metadata,dataset/publisher,publisher,sc:publisher,sc:publisher,croissant-native,"Publisher = e.g., HF or Zenodo? SR: this term was flagged as ambiguous in the feedback document especially for existing resources
EC: schema.org definition is ambiguous to me too--good question to the group

Use-case: General where is it, need to know for API/what deeper questions can be asked (from the first pass perspective)"
Formatted Data Citation,"Dataset provides recommended, pre-formatted bibliographic citations in standard scientific styles (e.g., APA, BibTeX).","Complete, pre-formatted citation strings in APA, Chicago, machine-readable BibTeX formats (with DOI), or similar are provided.","Citation text is provided but missing critical fields (e.g., year, repository, or DOI) or BibTeX format.",No pre-formatted bibliographic citation is provided.,Never NA (mandatory for scientific attribution).,Findable | Reusable,Provenance,Provenance,Citation,dataset/alternateIdentifier,identifier,sc:identifier,sc:identifier,croissant-partial,
