Item,Proposed definition,Criteria: Structural/Scientific/Provenance,Broad categories,Sub category,Note,"Required (core, auto, or recommended)",Use-case scope (Condition),use case,Applies-at-level,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,FAIR4AI category
Funder description,Entity that funded the creation of this data. Croissant: funder,"Provenance, could be scientific",General Information,Acknowledgements,"Ex: NSF, NIH, etc.",core,Funder,,dataset,dataset/project/funding,fundingReferences/fundingReference/funderName,sc:funder,sc:funder,croissant-partial,Reusable
"Funding ID (e.g., grant number)",grant/award number (https://schema.org/Grant?),"Provenance, could be scientific",General Information,Acknowledgements,"Ex: numbers for this grant: Awards 2531924, 2531922, 2531925, 2600200 ",core,Funding ID,,dataset,dataset/project/award,fundingReferences/fundingReference/awardNumber,sc:funder,sc:funder,croissant-partial,Reusable
Non-author contributors,Acknowledgement/List of contributors not included in the author list. Croissant: contributor,"Provenance, could be scientific",General Information,Acknowledgements,"Could be free-text acknowledgment (e.g., ""thank you to Jane and John for their feedback..."")",recommended,Outside contributors,,dataset,dataset/associatedParty,contributors/contributor,sc:contributor,sc:contributor,croissant-partial,Reusable
Purpose (IO),"short intended use at compilation/collection: why
experimental/general monitoring - like a quick reference for what biases may exist in these data",Scientific,General Information,Data description,"General, this data is for ... e.g., specifically for identifying animal behaviors in Kenyan ungulates from drone footage vs. for estimating population size of Grevy's zebras across Kenya",core,All use cases,,dataset,dataset/purpose,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,croissant-partial,Reusable | AI-ready
Is machine ready (IO/ESIP),"All structural fields are filled in and then it is machine ready for the specified tasks.

data can be ingested into a pipeline, does not guarantee scientific validity",structural,General Information,Data description,"SR: this term was flagged as ambiguous in the feedback document
EC: this requires discussion: do we want to include, and if so, how do we answer this? the Croissant ""conformsTo"" would seem to be usable for saying it follows our standard, so perhaps we could define a measure of compliance, but we'd want it to be pretty intuitive. We've discussed ""machine ready"" or AI-Ready as being ready to insert directly to an ML pipeline, but needs are still use-case specific. 
ES: should we make an additional field for ML use case or pipeline that the dataset is ""ready"" for?",auto,All use cases,,dataset,,,,cr:conformsTo,croissant-native,AI-ready | Interoperable
Is task ready (list of tasks),List of tasks for which dataset is machine-ready,scientific + structural,General Information,Data description,"i.e., what was this dataset engineered to do? E.g., test-train split for training a computer vision species identification model. The data could be used for something else, but this is what the data were assembled for.
Ex: Image Classification on list of columns",auto,All use cases,,dataset,,,,is a task defined in sc:educationalUse?,croissant-native,AI-ready
Is traceable,"Whether the dataset's origin can be followed back to its source(s) via persistent identifiers, forming an unbroken provenance chain. Authority: DataCite Metadata Schema 4.6 -- relatedIdentifiers[IsDerivedFrom] (sources with a DOI) and relatedItems[IsDerivedFrom] (sources without a DOI). Also schema.org sc:isBasedOn; Croissant cr:source; PROV-O.",provenance,General Information,Data description,"proposed definition generated by Claude

Based on provenance category being sufficiently filled",auto,All use cases,,dataset,,,,,oos->extension,Findable | Reusable
Language (for text data - IO),Croissant: language,structural (only needed for NLP),General Information,Data description,,core,Text/NLP (textual data),,dataset,dataset/language,language,sc:inLanguage,sc:inLanguage,croissant-partial,Interoperable
Summary,"A short, human-readable summary of the dataset, briefer than the full abstract, suitable for catalog display. Ref: schema.org sc:abstract (short) vs sc:description (full); EML dataset/abstract.",scientific,General Information,Data description,"proposed definition generated by Claude

Idea was to find a short description key. Schema.org recently introduced abstract, which could work? Seems like we would want to include something about the intent. How is this different or the same from content?
1-2 sentences vs. an abstract",core,All use cases,"Example would be for rendering in a Catalog, but more generally, getting a simple description back is more manageable, especially if worried about context window limitations looking at multiple sources ",dataset,dataset/abstract,"descriptions/description[@descriptionType=""Abstract""]",sc:abstract,sc:abstract,croissant-partial,Findable
Keywords/Tags (IO),Croissant: keywords,,General Information,Discovery,,core,All use cases,,dataset,dataset/keywordSet,subjects/subject,sc:keywords,sc:keywords,croissant-native,Findable
Data Dictionary / Codebook,"A structured listing that defines every variable/field: name, data type, units, allowed values, and definition. Ref: schema.org sc:variableMeasured; Croissant cr:RecordSet/cr:field; EML dataset/dataTable/attributeList; DataCite description[TechnicalInfo].",structural/scientific,General Information,Ontology,proposed definition generated by Claude [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)],core,All use cases,,dataset; occurrence,dataset/dataTable/attributeList,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:RecordSet/cr:field,croissant-native,Interoperable | Reusable
Homepage (IO),URL to description of dataset (may not exist or point to resource homepage),Provenance/Scientific,General Information,References,"Ex: for TreeOfLife-200M, has homepage",core,All use cases,,dataset,dataset/distribution/online/url,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDescribedBy""]",sc:url,sc:url,croissant-partial,Findable
