position,section,group_title,item_id,question_id,title,description,question_type,required,options,validation
1,Form Root,,31c15c20,,Respondent Information: Relationship to the dataset,"To better process the results of this survey, we are collecting some information regarding your relationship to the data about which you're filling this form.",textItem,False,,
2,Form Root,,7fa74f58,38211734,My name,,textQuestion,True,,
3,Form Root,,79229d7e,47493acb,My affiliation,,textQuestion,True,,
4,Form Root,,355745ce,5ff65f23,My email,,textQuestion,True,,
5,Form Root,,42239f50,245a9683,Dataset title,,textQuestion,True,,
6,Form Root,,3f2cbad9,66843596,"Please provide a link to the associated repository, if available.",,textQuestion,False,,
7,Form Root,,1f94280f,1bd47cbc,Please provide a link to the dataset landing page/home page if available.,,textQuestion,False,,
8,Form Root,,0f7a15e6,0b33d68e,"Please provide the citation, DOI, URL, or similar, if available.",,textQuestion,False,,
9,Form Root,,01891ec3,3c18866c,"As I am evaluating this dataset, I am considering it for",,choiceQuestion,True,publishing for others to use | open-ended use (window shopping) | use in a specific project,
10,Form Root,,0be6c75d,3d5eabd4,My relationship to this dataset,,choiceQuestion,True,Data Provider/Producer (metadata author) | Data User/Consumer (metadata reader),
11,Form Root,,0c537335,37ab76ed,Provide a brief description of how you are evaluating this dataset. ,"Do you have access to a metadata file for the dataset (e.g., Schema.org, EML, ML Croissant, etc.). Or are you evaluating the dataset some other way, such as viewing a dataset landing page (briefly describe)?",textQuestion,True,,
12,Form Root,,4452eff3,7d68e1a4,Metadata Upload,"If available, please upload the metadata file that you are evaluating (placeholder - need to edit in the form).",fileUploadQuestion,False,,
13,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,711e3d8c,,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,Does the metadata sufficiently document the following?,SECTION_BREAK,False,,
14,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,5402a3d4,55fff1a9,Citation for “this dataset”: The full citation is provided (preferably in Bibtex format).,,choiceQuestion,False,Yes | No,
15,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,416b2c80,35a18d55,Summary or Abstract,,choiceQuestion,False,Yes | No,
16,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,667d2653,2b340e20,Publisher,,choiceQuestion,False,Yes | No,
17,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,54d3a65e,720ff76d,Date Created,,choiceQuestion,False,Yes | No,
18,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,74d0610e,2a1bb6cc,"An identifier for “this dataset”: Does the dataset have a unique, persistent, machine-resolvable identifier (e.g., DOI)? ",,choiceQuestion,False,Yes | No,
19,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,324e8d0d,57cdd1a1,"Author/creator information are provided (e.g., names, affiliations, ORCIDs)",,choiceQuestion,False,Yes | No,
20,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,04d74763,09682837,"Curator information is provided (all curator names, ORCIDs, etc. are listed)",,choiceQuestion,False,Yes | No,
21,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,431a5c84,5c350dc2,Dataset Card Author(s) (person providing the description of the dataset) listed,,choiceQuestion,False,Yes | No,
22,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,08d1c620,115a31d5,Dataset Card Contact or Expert Contact (who to contact with questions) is provided,,choiceQuestion,False,Yes | No,
23,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,46caa082,7ffd2052,Other Non-author Contributions,,choiceQuestion,False,Yes | No,
24,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,501118d1,72324b3a,Acknowledgments: Funding Description and Grants,,choiceQuestion,False,Yes | No,
25,Provenance: Documenting the history of the dataset and providing sufficient information for downstream datasets to do the same.,,143558d3,,Provenance for a Derived Dataset,Does the metadata sufficiently document the following if this is a derived dataset?,textItem,False,,
